Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
HXL,Hexcel Corporation,64.34,5768115100.2,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/hxl
HCLP,Hi+AC0-Crush Partners LP,11.65,1038366795.05,n/a,2012,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/hclp
HBM,Hudbay Minerals Inc.,7.15,1868088994.2,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/hbm
HUN,Huntsman Corporation,28.91,7007971278.98,n/a,2005,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/hun
HYGS,Hydrogenics Corporation,8.4,129669783.6,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/hygs
IAG,Iamgold Corporation,5.24,2444108778.52,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/iag
NGVT,Ingevity Corporation,73.52,3103577323.6,n/a,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ngvt
IOSP,Innospec Inc.,69,1710746325,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/iosp
IBP,+ACI-Installed Building Products, Inc.+ACI-,58.7,1870304096,n/a,2014,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/ibp
IFF,+ACI-Internationa Flavors +ACY- Fragrances, Inc.+ACI-,132.6,10465804798.8,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/iff
IP,International Paper Company,50.15,20766793939.7,n/a,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/ip
THM,International Tower Hill Mines Ltd,0.5575,103914095.27,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/thm
IPI,+ACI-Intrepid Potash, Inc+ACI-,3.65,476371541.15,n/a,2008,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/ipi
ICL,Israel Chemicals Shs,4.19,5356413951.42,n/a,2014,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/icl
JEC,Jacobs Engineering Group Inc.,55.57,7872677697.48,n/a,n/a,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/jec
JELD,+ACI-JELD+AC0-WEN Holding, Inc.+ACI-,31.69,3370564403.45,n/a,2017,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/jeld
KS,KapStone Paper and Packaging Corporation,34.46,3355747226.86,n/a,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/ks
KBR,+ACI-KBR, Inc.+ACI-,15.94,2235877530.88,n/a,2006,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/kbr
KGC,Kinross Gold Corporation,3.84,4788612261.12,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kgc
KL,Kirkland Lake Gold Ltd.,15.76,3324491371.84,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kl
KLDX,Klondex Mines Ltd.,2.35,422095125.45,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kldx
KMG,+ACI-KMG Chemicals, Inc.+ACI-,61.21,949082473.5,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kmg
KOP,Koppers Holdings Inc.,40.9,849838523.2,n/a,2006,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/kop
KRA,Kraton Corporation,46.91,1486760755.18,n/a,2009,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kra
KRO,Kronos Worldwide Inc,22.4,2596206995.2,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kro
FSTR,L.B. Foster Company,24.75,256068771.75,n/a,n/a,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/fstr
LAYN,Layne Christensen Company,14.54,289593805.22,n/a,1992,Basic Industries,Engineering +ACY- Construction,https://www.nasdaq.com/symbol/layn
